select * from CLTLIBD1X.XACTIVITY0 where ACCTNBR='369822440' and TRANSTYPE='45' and ACTMISC like 'A%':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS203':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS204':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS205':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS206':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS207':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS208':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS209':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS210':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS211':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS212':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS213':1
